name, distance, has_beer, has_pub_quiz, is_spoons, has_live_music, address, lat, lon, has_funny_smell, cheapest_pint, is_open, is_college
The Bear Inn, 1.1, True, False, False, False, The Bear; 6; Alfred Street; Grandpont; Oxford; Oxfordshire; South East; England; OX1 4EH; United Kingdom, 51.75154340147419, -1.2556187796438967, False, inf, True, False
The Royal Blenheim, 1.3, True, False, False, False, Royal Blenheim; 13; St Ebbes Street; Grandpont; Oxford; Oxfordshire; South East; England; OX1 1PT; United Kingdom, 51.7507949, -1.2593275, False, inf, True, False
The Chequers, 1.0, True, False, False, False, The Chequers; 131 High Street; Oxford; Oxfordshire; South East; England; OX1 4DH; United Kingdom, 51.752061, -1.256685, False, 4.15, True, False
The Crown, 1.1, True, False, False, False, The Crown; 59a; Cornmarket Street; Grandpont; Oxford; Oxfordshire; South East; England; OX1 3HB; United Kingdom, 51.7521883, -1.2580222, False, 4.15, True, False
The Eagle and Child, 0.65, True, False, False, False, Eagle and Child; 49; St Giles'; Norham Manor; Oxford; Oxfordshire; South East; England; OX1 3LU; United Kingdom, 51.757221099999995, -1.2603284108858848, True, inf, False, False
The Four Candles, 1.1, True, False, True, False, The Four Candles; 51-53; George Street; Jericho; Oxford; Oxfordshire; South East; England; OX1 2BE; United Kingdom, 51.7533993, -1.2620909, False, inf, True, False
The Grapes, 1.0, True, False, False, False, The Grapes; 7; George Street; Grandpont; Oxford; Oxfordshire; South East; England; OX1 2AT; United Kingdom, 51.7537486, -1.2595821, False, 4.1, True, False
The Head of the River, 1.7, True, False, False, False, The Head of the River; 1; Folly Bridge; Grandpont; Oxford; Oxfordshire; South East; England; OX1 4LB; United Kingdom, 51.746687800000004, -1.2560323412804122, False, inf, True, False
The Kings Arms, 0.6, True, False, False, False, King's Arms; 40; Holywell Street; Norham Manor; Oxford; Oxfordshire; South East; England; OX1 3SP; United Kingdom, 51.7550797, -1.2543214, False, 4.8, True, False
The Lamb and Flag, 0.55, True, False, False, False, Lamb and Flag; St Giles'; Norham Manor; Oxford; Oxfordshire; South East; England; OX1 3JS; United Kingdom, 51.757404699999995, -1.2593104924183205, True, inf, False, False
The Mitre, 1.0, True, False, False, False, The Mitre; High Street; Grandpont; Oxford; Oxfordshire; South East; England; OX1 4AQ; United Kingdom, 51.7523948, -1.2559797928120555, False, inf, False, False
The Old Tom, 1.2, True, False, False, False, Old Tom; 101; St Aldate's; Grandpont; Oxford; Oxfordshire; South East; England; OX1 1BT; United Kingdom, 51.7508746, -1.2572208, False, inf, True, False
O'Neills, 1.0, False, False, False, False, O'Neill's; George Street; Grandpont; Oxford; Oxfordshire; South East; England; OX1 2BJ; United Kingdom, 51.7535341, -1.2607996, False, inf, True, False
The Wig and Pen, 1.0, True, False, False, False, 9-13 George St; Oxford OX1 2AU, 51.75368045158259, -1.2597503187656156, False, 3.95, True, False
The Oxford Retreat, 1.4, True, False, False, False, The Oxford Retreat; 1-2; Hythe Bridge Street; Jericho; Oxford; Oxfordshire; South East; England; OX1 2TA; United Kingdom , 51.7532923, -1.2656159, False, inf, True, False
The Red Lion, 1.1, True, False, False, False, The Red Lion; 40-42; Oxford Road; Old Marston; Oxford; Oxfordshire; South East; England; OX3 0PH; United Kingdom , 51.772328283812755, -1.236240367754539, False, inf, True, False
The St Aldate's Tavern, 1.2, True, False, False, False, St Aldate's Tavern; 108; St Aldate's; Grandpont; Oxford; Oxfordshire; South East; England; OX1 1BU; United Kingdom , 51.75129325, -1.2574114966141754, False, inf, True, False
The Three Goats Heads, 1.0, True, False, False, False, Three Goats Heads; 3A; St Michael's Street; Grandpont; Oxford; Oxfordshire; South East; England; OX1 2DR; United Kingdom , 51.7534232, -1.2590829, False, 4.5, True, False
The Turf Tavern, 0.5, True, False, False, False,   Turf Tavern; 7; Bath Place; Grandpont; Oxford; Oxfordshire; South East; England; OX1 3SU; United Kingdom , 51.7546944, -1.2528622320221636, False, 4.4, True, False
The Wheatsheaf, 1.0, True, False, False, False, The Wheatsheaf; 129; High Street; Grandpont; Oxford; Oxfordshire; South East; England; OX1 4DF; United Kingdom , 51.75174, -1.256298, False, inf, True, False
White Horse, 0.65, True, False, False, False, White Horse; 52; Broad Street; Grandpont; Oxford; Oxfordshire; South East; England; OX1 3BB; United Kingdom, 51.7545992, -1.2556516, False, inf, True, False
The White Rabbit, 0.65, True, False, False, False, The White Rabbit; 21; Friars Entry; Jericho; Oxford; Oxfordshire; South East; England; OX1 2BY; United Kingdom , 51.7544715, -1.2607005706770802, False, inf, True, False
The Castle, 1.6, True, False, False, False, The Castle; 24; Paradise Street; Grandpont; Oxford; Oxfordshire; South East; England; OX1 1LD; United Kingdom , 51.7507181, -1.2619326553382662, False, inf, True, False
The Jam Factory, 1.6, True, False, False, False, The Jam Factory; Hollybush Row; Jericho; Oxford; Oxfordshire; South East; England; OX1 1HU; United Kingdom , 51.752345500000004, -1.2677711621899035, False, inf, True, False
The Jolly Farmers, 1.5, True, False, False, False, The Jolly Farmers; 20; Paradise Street; Grandpont; Oxford; Oxfordshire; South East; England; OX1 1LD; United Kingdom , 51.750692349999994, -1.2626142092525714, False, inf, True, False
The Swan and Castle, 1.5, True, False, True, False, The Swan and Castle; 40; Castle Street Square; Oxford Castle Quarter; Grandpont; Oxford; Oxfordshire; South East; England; OX1 1AY; United Kingdom , 51.7511807, -1.2618425, False, inf, True, False
The Old Bookbinders, 1.5, True, False, False, False, The Old Bookbinders; 17-18; Victor Street; Jericho; Oxford; Oxfordshire; South East; England; OX2 6BT; United Kingdom , 51.7584939, -1.2697797, False, 4.7, True, False
The Harcourt Arms, 1.4, True, True, False, False,   The Harcourt Arms; 1-2; Cranham Terrace; Jericho; Oxford; Oxfordshire; South East; England; OX2 6DG; United Kingdom , 51.75941005, -1.268024897384397, False, inf, True, False
The Jericho Tavern, 1.3, True, False, False, False, Jericho Tavern; 56; Walton Street; Jericho; Oxford; Oxfordshire; South East; England; OX2 6BU; United Kingdom , 51.76017715, -1.2664924695983872, False, inf, True, False
Jude the Obscure, 1.2, True, False, False, False, Jude the Obscure; 51-54; Walton Street; Jericho; Oxford; Oxfordshire; South East; England; OX2 6AE; United Kingdom , 51.7599843, -1.26628205555838, False, 4.1, True, False
The Rickety Press, 1.4, True, False, False, False, The Rickety Press; 67; Cranham Street; Jericho; Oxford; Oxfordshire; South East; England; OX2 6DS; United Kingdom , 51.7598827, -1.2683244378576402, False, inf, True, False
The Royal Oak, 0.9, True, False, False, False, The Royal Oak; 42-44; Woodstock Road; Norham Manor; Oxford; Oxfordshire; South East; England; OX2 6HT; United Kingdom , 51.7606495, -1.2616332397836085, False, 4.2, True, False
The Victoria, 1.5, True, False, False, False, The Victoria; 90; Walton Street; Jericho; Oxford; Oxfordshire; South East; England; OX2 6EB; United Kingdom , 51.76173755, -1.2678698728609619, False, inf, True, False
The Victoria Arms, 2.5, True, False, False, False, Mill Ln; Marston; Oxford OX3 0QA, 51.77684742696684, -1.2472305881209258, False, inf, False, False
The Anchor, 2.0, True, False, False, False, The Anchor; 2; Hayfield Road; Walton Manor; Oxford; Oxfordshire; South East; England; OX2 6TT; United Kingdom , 51.7677013, -1.2690480938820095, False, inf, True, False
The Gardener's Arms North Parade, 1.2, True, False, False, False, Gardeners Arms; 8; North Parade Avenue; Norham Manor; Oxford; Oxfordshire; South East; England; OX2 6LX; United Kingdom , 51.7644918, -1.2620828, False, inf, True, False
The Gardener's Arms Plantation Road, 1.4, True, False, False, False, The Gardeners Arms; 39; Plantation Road; Walton Manor; Oxford; Oxfordshire; South East; England; OX2 6JE; United Kingdom , 51.76273625, -1.2665866949651243, False, inf, True, False
The Rose and Crown, 1.2, True, False, False, False, The Rose And Crown; 14; North Parade Avenue; Norham Manor; Oxford; Oxfordshire; South East; England; OX2 6LX; United Kingdom , 51.7647059, -1.2616289, False, inf, True, False
The Fishes, 3.4, True, False, False, False, The Fishes; North Hinksey Village; North Hinksey; Vale of White Horse; Oxfordshire; South East; England; OX2 0NA; United Kingdom , 51.7452124, -1.2825397, False, inf, True, False
Tap Social Movement, 3.5, True, True, False, False, Tap Social Movement; 27; Southern By-pass Road; North Hinksey; Vale of White Horse; Oxfordshire; South East; England; OX2 0LX; United Kingdom , 51.7512935, -1.295217, False, inf, True, False
The Angel and Greyhound, 1.4, True, False, False, False, Angel and Greyhound; 30; St Clements Street; New Marston; Oxford; Oxfordshire; South East; England; OX4 1AB; United Kingdom , 51.75033915, -1.2426479795125314, False, inf, True, False
The Half Moon, 1.3, True, False, False, False, The Half Moon; 17-18; St Clements Street; New Marston; Oxford; Oxfordshire; South East; England; OX4 1AB; United Kingdom , 51.7502867, -1.2434793, False, inf, True, False
The Old Black Horse, 1.4, False, False, False, False, Old Black Horse Inn; 102; St Clements Street; New Marston; Oxford; Oxfordshire; South East; England; OX4 1AR; United Kingdom, 51.75001, -1.24279, False, inf, True, False
The Port Mahon, 1.6, True, False, False, False, Port Mahon; 82; St Clements Street; New Marston; Oxford; Oxfordshire; South East; England; OX4 1AW; United Kingdom, 51.75042, -1.23997, False, inf, True, False
The Star, 1.8, True, False, False, False,   The Star; 21; Rectory Road; New Marston; Oxford; Oxfordshire; South East; England; OX4 1BU; United Kingdom , 51.7493995, -1.2382685933215969, False, inf, True, False
The Black Swan, 2.0, True, False, False, False, Black Swan; 11; Crown Street; Oxford; Oxfordshire; South East; England; OX4 1QG; United Kingdom , 51.7466865, -1.2369835132352924, False, inf, True, False
The Cape of Good Hope, 1.3, True, False, False, False, Cape of Good Hope; 1; Iffley Road; Grandpont; Oxford; Oxfordshire; South East; England; OX4 1EA; United Kingdom , 51.74968525, -1.243796360612483, False, inf, True, False
The Chester, 2.4, True, False, False, False, The Chester; 19; Chester Street; Cold Harbour; Oxford; Oxfordshire; South East; England; OX4 1SN; United Kingdom, 51.7416405, -1.2406271, False, inf, True, False
The City Arms, 2.4, False, False, False, False,  he City Arms; 288; Cowley Road; Oxford; Oxfordshire; South East; England; OX4 1UR; United Kingdom , 51.744935299999995, -1.2301129178143755, False, inf, True, False
The Cowley Retreat, 2.0, True, False, False, False, The Cowley Retreat; 172; Cowley Road; Oxford; Oxfordshire; South East; England; OX4 1UE; United Kingdom , 51.747191799999996, -1.2355539858165292, False, inf, True, False
BrewDog, 1.8, True, False, False, False, Brewdog; 119; Cowley Road; Oxford; Oxfordshire; South East; England; OX4 1JH; United Kingdom , 51.74807735, -1.2371606804715767, False, inf, True, False
The Mad Hatter, 1.5, False, False, False, False, The Mad Hatter; 43; Iffley Road; Grandpont; Oxford; Oxfordshire; South East; England; OX4 1EA; United Kingdom , 51.7484099, -1.2425581, False, inf, True, False
The Fir Tree, 2.0, True, True, False, False, The Fir Tree; 163; Iffley Road; Cold Harbour; Oxford; Oxfordshire; South East; England; OX4 1EJ; United Kingdom, 51.744434549999994, -1.2400197887848077, False, inf, True, False
The James Street Tavern, 1.9, True, False, False, True, James Street Tavern; 47-48; James Street; Cold Harbour; Oxford; Oxfordshire; South East; England; OX4 1EU; United Kingdom, 51.7474273, -1.2373453741933642, False, inf, True, False
The Library, 2.0, True, False, False, False, The Library; 182; Cowley Road; Oxford; Oxfordshire; South East; England; OX4 1UE; United Kingdom, 51.7470254, -1.2349056, False, inf, True, False
The Rusty Bicycle, 2.5, True, False, False, False, The Rusty Bicycle; 28; Magdalen Road; Oxford; Oxfordshire; South East; England; OX4 1RB; United Kingdom, 51.74293385, -1.234264793399705, False, inf, True, False
The Magdalen Arms, 2.5, True, False, False, False, 243 Iffley Rd; Oxford OX4 1SJ, 51.74121310739812, -1.237149963013011, False, inf, True, False
The Chester Arms, 2.5, True, False, False, False, 19 Chester St; Oxford OX4 1SN, 51.74162086448089, -1.2408080997768387, False, inf, True, False
The University Club, 0.2, True, False, False, False, University Club; 11; Mansfield Road; Norham Manor; Oxford; Oxfordshire; South East; England; OX1 3SZ; United Kingdom, 51.757122800000005, -1.251335944893838, False, inf, False, False
The Up in Arms, 1.4, True, False, False, False, 252-242 Marston Rd; Oxford, 51.7594972, -1.2368538, False, inf, True, False
The Seacourt Bridge, 3.86, True, False, False, False, 78 West Way; Botley; Oxford; OX2 0JB; United Kingdom, 51.75174517720427, -1.298835168539639, False, inf, True, False
Keble College Bar, 0.482, True, False, False, False, Keble College; Parks Road; Oxford; OX1 3PG; United Kingdom, 51.758508, -1.257914, False, inf, True, True
Balliol College Bar, 1.0, True, False, False, False, Oxford OX1 3BJ, 51.75429651036986, -1.257355471634104, False, inf, True, True
Univ College Bar, 1.0, True, False, False, False, High Street; Oxford, 51.75272092229712, -1.2519212901711974, False, inf, True, True
New College Bar, 0.482, True, False, False, False, New College; Holywell Street; OX1 3BN, 51.754880595709444, -1.2506204882995613, False, inf, True, True
The Punter, 1.0, True, False, False, False, 7 South St; Oxford OX2 0BE, 51.7502615399644, -1.2728460920969342, False, inf, True, False
The Perch, 1.0, True, False, False, False, Binsey; Oxford OX2 0NG, 51.76500594662904, -1.2878543853121618, False, inf, True, False
The Trout Inn, 1.0, True, False, False, False, 195 Godstow Rd; Wolvercote; Oxford OX2 8PN, 51.78014624792215, -1.299536247921414, False, inf, True, False
